sample_id,species,location,source
RRAP-ECT01-2021-Ahya-NDIR-52_L4,Acropora tersa,North Direction,doi.org/10.1038/s43247-024-01649-59
RRAP-ECT01-2021-Ahya-NDIR-53_L4,Acropora tersa,North Direction,doi.org/10.1038/s43247-024-01649-60
RRAP-ECT01-2021-Ahya-NDIR-54_L2,Acropora pectinata,North Direction,doi.org/10.1038/s43247-024-01649-14
RRAP-ECT01-2021-Ahya-NDIR-67-LEG5346-10_L2,Acropora tersa,North Direction,doi.org/10.1038/s43247-024-01649-61
RRAP-ECT01-2021-Ahya-NDIR-69b_L3,Acropora tersa,North Direction,doi.org/10.1038/s43247-024-01649-62
RRAP-ECT01-2021-Ahya-NDIR-86_L4,Acropora tersa,North Direction,doi.org/10.1038/s43247-024-01649-63
RRAP-ECT01-2021-Ahya-NONA-110_L3,Acropora pectinata,No Name,doi.org/10.1038/s43247-024-01649-4
RRAP-ECT01-2021-Ahya-NONA-116_L4,Acropora pectinata,No Name,doi.org/10.1038/s43247-024-01649-5
RRAP-ECT01-2021-Ahya-NONA-119_L3,Acropora pectinata,No Name,doi.org/10.1038/s43247-024-01649-6
RRAP-ECT01-2021-Ahya-NONA-125_L2,Acropora pectinata,No Name,doi.org/10.1038/s43247-024-01649-7
RRAP-ECT01-2021-Ahya-NONA-127_L2,Acropora pectinata,No Name,doi.org/10.1038/s43247-024-01649-8
RRAP-ECT01-2021-Ahya-NONA-128_L4,Acropora pectinata,No Name,doi.org/10.1038/s43247-024-01649-9
RRAP-ECT01-2021-Ahya-NONA-99_L2,Acropora pectinata,No Name,doi.org/10.1038/s43247-024-01649-10
RRAP-ECT01-2021-Ahya-OCCH-304_L2,Acropora pectinata,Chicken,doi.org/10.1038/s43247-024-01649-18
RRAP-ECT01-2021-Ahya-OCCH-305_L2,Acropora pectinata,Chicken,doi.org/10.1038/s43247-024-01649-19
RRAP-ECT01-2021-Ahya-OCCH-311_L4,Acropora pectinata,Chicken,doi.org/10.1038/s43247-024-01649-20
RRAP-ECT01-2021-Ahya-OCCH-317_L4,Acropora pectinata,Chicken,doi.org/10.1038/s43247-024-01649-21
RRAP-ECT01-2021-Ahya-OCCH-323_L3,Acropora pectinata,Chicken,doi.org/10.1038/s43247-024-01649-22
RRAP-ECT01-2021-Ahya-OCCH-328_L2,Acropora pectinata,Chicken,doi.org/10.1038/s43247-024-01649-23
RRAP-ECT01-2021-Ahya-OCDA-331_L4,Acropora sp. 'VI-3',Davies,doi.org/10.1038/s43247-024-01649-27
RRAP-ECT01-2021-Ahya-OCDA-334_L3,Acropora sp. 'VI-3',Davies,doi.org/10.1038/s43247-024-01649-28
RRAP-ECT01-2021-Ahya-OCDA-337_L3,Acropora sp. 'VI-3',Davies,doi.org/10.1038/s43247-024-01649-29
RRAP-ECT01-2021-Ahya-OCDA-343_L4,Acropora sp. 'VI-3',Davies,doi.org/10.1038/s43247-024-01649-30
RRAP-ECT01-2021-Ahya-OCDA-349_L2,Acropora sp. 'VI-3',Davies,doi.org/10.1038/s43247-024-01649-31
RRAP-ECT01-2021-Ahya-PAPE-224_L4,Acropora hyacinthus,Pelorus,doi.org/10.1038/s43247-024-01649-11
RRAP-ECT01-2021-Ahya-PAPE-225_L2,Acropora hyacinthus,Pelorus,doi.org/10.1038/s43247-024-01649-12
RRAP-ECT01-2021-Ahya-PAPE-229_L4,Acropora hyacinthus,Pelorus,doi.org/10.1038/s43247-024-01649-13
RRAP-ECT01-2021-Ahya-PAPE-233_L4,Acropora hyacinthus,Pelorus,doi.org/10.1038/s43247-024-01649-14
RRAP-ECT01-2021-Ahya-PAPE-234_L3,Acropora hyacinthus,Pelorus,doi.org/10.1038/s43247-024-01649-15
RRAP-ECT01-2021-Ahya-PAPE-249_L4,Acropora hyacinthus,Pelorus,doi.org/10.1038/s43247-024-01649-16
RRAP-ECT01-2021-Ahya-PAPE-250_L2,Acropora hyacinthus,Pelorus,doi.org/10.1038/s43247-024-01649-17
RRAP-ECT01-2021-Ahya-STCR-165_L4,Acropora hyacinthus,St Crispin,doi.org/10.1038/s43247-024-01649-4
RRAP-ECT01-2021-Ahya-STCR-168_L4,Acropora hyacinthus,St Crispin,doi.org/10.1038/s43247-024-01649-5
RRAP-ECT01-2022-Aspat-CBHE-1725_L2,Acropora cf. spathulata,Heron Island,doi.org/10.1016/j.cub.2026.04.143
RRAP-ECT01-2022-Aspat-CBHE-1738_L1,Acropora cf. spathulata,Heron Island,doi.org/10.1016/j.cub.2026.04.144
RRAP-ECT01-2022-Aspat-CBHE-1742_L1,Acropora cf. spathulata,Heron Island,doi.org/10.1016/j.cub.2026.04.145
RRAP-ECT01-2022-Aspat-CBHE-1759_L2,Acropora cf. spathulata,Heron Island,doi.org/10.1016/j.cub.2026.04.146
RRAP-ECT01-2022-Aspat-CBHE-1762_L1,Acropora cf. spathulata,Heron Island,doi.org/10.1016/j.cub.2026.04.147
RRAP-ECT01-2022-Aspat-CBHE-1763_L1,Acropora cf. spathulata,Heron Island,doi.org/10.1016/j.cub.2026.04.148
RRAP-ECT01-2022-Aspat-CBHE-1766_L1,Acropora cf. spathulata,Heron Island,doi.org/10.1016/j.cub.2026.04.149
RRAP-ECT01-2022-Aspat-CBHE-767_L2,Acropora cf. spathulata,Heron Island,doi.org/10.1016/j.cub.2026.04.142
RRAP-ECT01-2022-Aspat-CBLM-1604_L4,Acropora cf. spathulata,Lady Musgrave,doi.org/10.1016/j.cub.2026.04.150
RRAP-ECT01-2022-Aspat-CBLM-1606_L3,Acropora cf. spathulata,Lady Musgrave,doi.org/10.1016/j.cub.2026.04.151
RRAP-ECT01-2022-Aspat-CBLM-1613_L4,Acropora cf. spathulata,Lady Musgrave,doi.org/10.1016/j.cub.2026.04.152
RRAP-ECT01-2022-Aspat-CBLM-1626_L4,Acropora cf. spathulata,Lady Musgrave,doi.org/10.1016/j.cub.2026.04.153
RRAP-ECT01-2022-Aspat-CBLM-1628_L4,Acropora cf. spathulata,Lady Musgrave,doi.org/10.1016/j.cub.2026.04.154
RRAP-ECT01-2022-Aspat-CBLM-1630_L3,Acropora cf. spathulata,Lady Musgrave,doi.org/10.1016/j.cub.2026.04.155
RRAP-ECT01-2022-Aspat-CBLM-1635_L2,Acropora cf. spathulata,Lady Musgrave,doi.org/10.1016/j.cub.2026.04.156
RRAP-ECT01-2022-Aspat-FITZ-1670_L3,Acropora cf. spathulata,Fitzroy Reef,doi.org/10.1016/j.cub.2026.04.109
RRAP-ECT01-2022-Aspat-FITZ-1681_L2,Acropora cf. spathulata,Fitzroy Reef,doi.org/10.1016/j.cub.2026.04.110
